,age,job,marital,education,default,balance,housing,loan,day,month,campaign,pdays,previous,target
0,30,4,2,0,0,23,1,1,5,8,1,-1,0,0
1,53,10,1,1,0,-3,0,0,5,8,1,-1,0,0
2,36,7,2,2,0,424,1,0,5,8,1,-1,0,0
3,53,10,1,1,0,384,1,0,5,8,1,-1,0,0
4,28,10,1,1,0,152,1,1,5,8,2,-1,0,0
5,46,10,0,1,0,79,0,0,5,8,1,-1,0,0
6,36,10,2,1,0,1685,1,0,5,8,1,-1,0,0
7,54,4,1,0,0,348,1,0,5,8,2,-1,0,0
8,24,2,2,1,0,82,1,0,5,8,1,-1,0,0
9,34,2,1,2,0,211,1,0,5,8,2,-1,0,0
10,43,7,1,2,0,400,1,0,5,8,1,-1,0,0
11,36,4,1,1,0,-390,1,0,5,8,1,-1,0,0
12,47,4,1,0,0,-12,1,0,5,8,1,-1,0,0
13,20,4,2,1,0,0,1,0,5,8,2,-1,0,0
14,40,4,1,1,0,475,1,0,5,8,2,-1,0,0
15,56,5,0,1,0,155,0,0,5,8,3,-1,0,0
16,35,7,1,2,0,58,1,0,5,8,2,-1,0,0
17,55,4,1,1,0,89,1,0,5,8,3,-1,0,0
18,29,2,2,1,0,98,1,0,5,8,2,-1,0,0
19,32,7,1,2,0,46,1,0,5,8,4,-1,0,0
20,46,2,2,2,0,377,1,0,5,8,2,-1,0,0
21,48,4,1,3,0,131,1,0,6,8,1,-1,0,0
22,43,4,1,1,0,1205,1,0,6,8,2,-1,0,0
23,46,4,0,0,0,1927,1,0,6,8,3,-1,0,0
24,30,7,2,2,0,151,1,0,6,8,1,-1,0,0
25,49,8,1,0,0,61,1,0,6,8,1,-1,0,0
26,40,2,2,1,0,-109,1,1,6,8,1,-1,0,0
27,50,7,1,2,0,964,1,0,6,8,1,-1,0,0
28,27,4,1,1,0,1,1,0,6,8,1,-1,0,0
29,24,2,2,1,0,712,1,0,6,8,1,-1,0,0
30,42,7,1,2,0,744,0,0,6,8,1,-1,0,0
31,32,4,1,3,0,245,1,0,6,8,1,-1,0,0
32,37,8,0,0,0,471,1,0,6,8,2,-1,0,0
33,56,4,1,1,0,1602,1,0,6,8,1,-1,0,0
34,36,10,1,1,0,581,1,0,6,8,1,-1,0,0
35,49,10,1,3,0,15,0,0,6,8,2,-1,0,0
36,40,4,1,0,0,2880,1,0,6,8,2,-1,0,0
37,52,5,1,2,0,-184,1,1,6,8,2,-1,0,0
38,35,10,1,1,0,123,1,1,6,8,2,-1,0,0
39,31,2,2,1,0,101,1,0,6,8,1,-1,0,0
40,40,8,0,1,0,105,1,0,6,8,2,-1,0,0
41,44,5,1,2,0,1631,1,0,6,8,2,-1,0,0
42,53,3,1,1,0,303,1,0,6,8,2,-1,0,0
43,33,4,2,1,0,376,1,1,6,8,3,-1,0,0
44,56,9,1,3,0,7,0,0,6,8,2,-1,0,0
45,35,10,1,1,0,-421,1,0,6,8,5,-1,0,0
46,47,4,1,1,0,1001,1,0,7,8,4,-1,0,0
47,56,3,1,1,0,0,1,0,7,8,4,-1,0,0
48,29,7,0,2,0,0,1,0,7,8,3,-1,0,0
49,45,5,1,1,0,68,1,0,7,8,1,-1,0,0
50,36,4,1,1,0,376,1,0,7,8,1,-1,0,0
51,24,4,2,1,0,24,1,0,7,8,1,-1,0,0
52,27,1,1,2,0,8,1,0,7,8,1,-1,0,0
53,40,2,1,1,0,2100,1,1,7,8,2,-1,0,0
54,36,4,1,3,0,5,1,0,7,8,2,-1,0,0
55,37,4,1,1,1,-345,1,0,7,8,1,-1,0,0
56,35,7,1,2,0,115,0,0,7,8,1,-1,0,0
57,41,7,0,1,0,276,1,0,7,8,1,-1,0,0
58,51,4,1,0,0,1466,1,0,7,8,2,-1,0,0
59,28,4,2,0,0,660,1,0,7,8,2,-1,0,0
60,34,5,1,2,0,1722,1,0,7,8,2,-1,0,0
61,35,10,1,2,0,16,1,1,7,8,3,-1,0,0
62,34,4,1,0,0,-20,1,0,7,8,3,-1,0,0
63,37,7,2,3,0,2887,1,0,7,8,2,-1,0,0
64,54,10,2,1,0,99,1,0,7,8,3,-1,0,0
65,29,8,2,1,0,671,1,0,7,8,3,-1,0,0
66,43,10,1,0,0,117,1,0,7,8,2,-1,0,0
67,31,10,1,1,0,367,1,1,7,8,2,-1,0,0
68,27,2,2,1,0,1117,1,0,8,8,2,-1,0,0
69,42,10,1,1,0,420,1,0,8,8,1,-1,0,0
70,35,10,1,1,0,316,1,0,8,8,1,-1,0,0
71,34,4,2,0,0,49,1,0,8,8,1,-1,0,0
72,34,10,1,1,0,5611,1,0,8,8,1,-1,0,0
73,50,4,1,0,0,40,1,0,8,8,1,-1,0,0
74,30,10,2,1,0,10,1,0,8,8,1,-1,0,0
75,37,4,1,0,0,481,1,0,8,8,1,-1,0,0
76,46,8,1,1,0,397,0,0,8,8,1,-1,0,0
77,44,2,2,1,0,-84,1,0,8,8,3,-1,0,0
78,43,10,1,2,0,2331,1,0,8,8,4,-1,0,0
79,46,4,1,0,0,174,1,1,8,8,3,-1,0,0
80,26,2,0,1,0,785,1,0,8,8,2,-1,0,0
81,32,7,2,2,0,163,0,0,8,8,1,-1,0,0
82,23,4,2,1,0,0,1,0,8,8,2,-1,0,0
83,30,4,1,1,0,214,1,0,8,8,1,-1,0,0
84,34,8,0,1,0,241,1,0,8,8,1,-1,0,0
85,32,8,1,1,0,586,1,1,8,8,2,-1,0,0
86,43,4,1,0,0,-192,1,0,8,8,2,-1,0,0
87,41,7,0,2,0,292,1,0,8,8,2,-1,0,0
88,34,4,1,3,0,70,1,0,8,8,4,-1,0,0
89,42,7,2,2,0,1768,1,0,8,8,2,-1,0,0
90,48,4,1,0,0,2642,1,0,8,8,3,-1,0,0
91,50,8,2,1,0,72,0,0,8,8,2,-1,0,0
92,41,8,1,1,0,639,1,0,8,8,2,-1,0,0
93,31,2,1,1,0,4012,0,1,8,8,4,-1,0,0
94,33,7,1,2,0,14,1,1,8,8,1,-1,0,0
95,30,2,2,2,0,490,1,0,9,8,2,-1,0,0
96,29,10,0,1,0,26,1,0,9,8,1,-1,0,0
97,33,7,1,2,0,4286,1,0,9,8,1,-1,0,0
98,30,0,1,0,0,344,1,0,9,8,2,-1,0,0
99,52,8,0,0,0,146,1,0,9,8,1,-1,0,0
100,32,4,1,0,0,-78,1,0,9,8,1,-1,0,0
101,36,5,1,1,0,2139,1,0,9,8,1,-1,0,0
102,33,10,2,2,0,670,1,0,9,8,1,-1,0,0
103,29,7,2,1,0,453,1,0,9,8,2,-1,0,0
104,50,4,1,0,0,2590,1,0,9,8,6,-1,0,0
105,48,4,1,1,0,149,1,0,9,8,1,-1,0,0
106,31,1,1,1,0,-131,1,1,9,8,2,-1,0,0
107,31,4,1,1,0,88,1,0,9,8,2,-1,0,0
108,25,4,1,2,0,350,0,0,9,8,1,-1,0,0
109,43,4,2,0,0,36,1,0,9,8,2,-1,0,0
110,25,10,2,1,0,527,1,0,9,8,1,-1,0,0
111,32,2,1,1,0,-312,1,0,9,8,1,-1,0,0
112,33,7,2,2,0,-202,1,0,9,8,2,-1,0,0
113,43,10,2,1,0,336,1,0,9,8,1,-1,0,0
114,55,4,1,1,0,-256,1,1,9,8,2,-1,0,0
115,28,2,2,2,0,-396,1,0,9,8,2,-1,0,0
116,26,10,1,1,0,655,1,0,9,8,2,-1,0,0
117,32,4,2,1,0,297,1,0,9,8,4,-1,0,0
118,33,9,1,1,0,351,1,0,9,8,2,-1,0,0
119,29,4,1,1,0,42,1,0,9,8,3,-1,0,0
120,41,2,2,1,0,-256,0,1,9,8,3,-1,0,0
121,26,4,1,1,0,131,1,0,12,8,5,-1,0,0
122,32,2,0,1,0,-220,1,1,12,8,4,-1,0,0
123,60,4,1,3,0,231,1,0,12,8,2,-1,0,0
124,31,4,1,0,0,2,1,1,12,8,2,-1,0,0
125,24,10,2,1,0,124,1,0,12,8,8,-1,0,0
126,33,4,1,1,0,362,1,0,12,8,2,-1,0,0
127,31,2,2,1,0,395,1,0,12,8,8,-1,0,0
128,37,4,2,0,0,446,1,0,12,8,1,-1,0,0
129,26,4,2,1,0,-284,1,0,12,8,1,-1,0,0
130,48,10,0,1,0,164,1,0,12,8,2,-1,0,0
131,48,4,2,0,0,396,1,0,12,8,3,-1,0,0
132,26,10,2,1,0,34,1,0,12,8,4,-1,0,0
133,25,7,2,2,0,2420,1,0,12,8,2,-1,0,0
134,40,10,1,1,0,2576,1,1,12,8,11,-1,0,0
135,40,7,2,2,0,867,1,1,12,8,4,-1,0,0
136,29,2,1,1,0,-474,1,0,12,8,2,-1,0,0
137,50,4,1,0,0,-37,1,0,12,8,3,-1,0,0
138,46,1,0,1,0,41,1,0,12,8,4,-1,0,0
139,24,10,2,1,0,8,0,0,13,8,1,-1,0,0
140,29,4,1,1,0,2577,1,0,13,8,2,-1,0,0
141,32,4,2,0,0,2146,1,0,13,8,1,-1,0,0
142,20,7,2,1,0,594,1,0,13,8,1,-1,0,0
143,26,2,2,1,0,296,1,0,13,8,1,-1,0,0
144,37,7,2,2,0,595,1,0,13,8,1,-1,0,0
145,37,2,0,1,0,-141,1,0,13,8,1,-1,0,0
146,49,3,1,0,0,2665,1,0,13,8,1,-1,0,0
147,43,4,1,3,0,3373,1,0,13,8,1,-1,0,0
148,45,7,1,2,0,849,0,0,13,8,1,-1,0,0
149,48,8,0,0,0,189,1,0,13,8,1,-1,0,0
150,56,3,1,1,0,296,1,0,13,8,1,-1,0,0
151,43,10,1,1,0,1916,1,0,13,8,2,-1,0,0
152,51,10,1,1,0,463,1,0,13,8,5,-1,0,0
153,45,2,1,1,0,985,1,0,13,8,1,-1,0,0
154,46,4,1,1,0,781,0,0,13,8,1,-1,0,0
155,24,8,2,1,0,8206,1,0,13,8,2,-1,0,0
156,42,2,1,1,0,128,1,0,13,8,1,-1,0,0
157,30,4,2,1,0,1940,1,1,13,8,3,-1,0,0
158,25,4,1,0,1,-588,0,0,13,8,2,-1,0,0
159,30,4,2,1,0,338,1,0,13,8,3,-1,0,0
160,22,4,1,0,0,-427,1,0,13,8,3,-1,0,0
161,42,8,1,1,0,693,1,0,13,8,2,-1,0,0
162,29,4,1,0,0,651,1,0,13,8,2,-1,0,0
163,41,4,1,0,0,3140,1,0,13,8,9,-1,0,0
164,31,4,1,1,0,152,1,0,13,8,2,-1,0,0
165,25,4,1,1,0,362,1,0,14,8,2,-1,0,0
166,48,10,1,3,0,67,1,0,14,8,4,-1,0,0
167,26,4,2,0,0,348,1,1,14,8,3,-1,0,0
168,29,2,1,1,0,752,1,0,14,8,1,-1,0,0
169,50,4,0,1,0,204,1,1,14,8,1,-1,0,0
170,42,2,1,1,0,2656,1,0,14,8,1,-1,0,0
171,58,3,1,1,0,-172,1,0,14,8,1,-1,0,0
172,35,4,1,1,0,15801,1,0,14,8,9,-1,0,0
173,41,4,1,1,0,338,1,0,14,8,1,-1,0,0
174,47,2,1,1,0,829,1,1,14,8,1,-1,0,0
175,57,3,0,0,0,2439,1,0,14,8,1,-1,0,0
176,40,10,1,1,0,782,1,0,14,8,2,-1,0,0
177,40,4,1,1,0,1313,0,0,14,8,1,-1,0,0
178,55,9,2,1,0,2607,1,0,14,8,1,-1,0,0
