,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,target
0,31,5,1,1,0,2,1,1,2,5,8,1,-1,0,0
1,42,5,0,2,1,2,1,0,2,5,8,1,-1,0,0
2,58,3,1,0,0,121,1,0,2,5,8,1,-1,0,0
3,43,10,2,1,0,593,1,0,2,5,8,1,-1,0,0
4,57,8,1,1,0,162,1,0,2,5,8,1,-1,0,0
5,51,3,1,0,0,229,1,0,2,5,8,1,-1,0,0
6,45,2,2,3,0,13,1,0,2,5,8,1,-1,0,0
7,31,8,1,1,0,0,1,0,2,5,8,1,-1,0,0
8,40,3,1,0,0,0,1,1,2,5,8,1,-1,0,0
9,44,2,1,1,0,-372,1,0,2,5,8,1,-1,0,0
10,37,7,2,2,0,255,1,0,2,5,8,1,-1,0,0
11,52,5,1,1,0,113,1,1,2,5,8,1,-1,0,0
12,46,7,2,1,0,-246,1,0,2,5,8,2,-1,0,0
13,34,10,2,1,0,265,1,1,2,5,8,1,-1,0,0
14,57,10,1,1,0,839,0,1,2,5,8,1,-1,0,0
15,49,7,1,2,0,378,1,0,2,5,8,1,-1,0,0
16,57,10,0,1,0,63,1,0,2,5,8,1,-1,0,0
17,34,2,0,1,0,506,1,0,2,5,8,1,-1,0,0
18,50,7,1,1,0,49,1,0,2,5,8,2,-1,0,0
19,60,4,1,3,0,104,1,0,2,5,8,1,-1,0,0
20,54,3,1,1,0,529,1,0,2,5,8,1,-1,0,0
21,34,2,2,0,0,-171,1,0,2,5,8,1,-1,0,0
22,44,10,1,1,0,0,1,0,2,5,8,2,-1,0,0
23,54,4,1,1,0,1291,1,0,2,5,8,1,-1,0,0
24,30,7,1,2,0,0,1,0,2,5,8,1,-1,0,0
25,42,2,2,1,0,-76,1,0,2,5,8,1,-1,0,0
26,46,8,1,0,0,179,1,0,2,5,8,1,-1,0,0
27,53,10,0,1,0,989,1,0,2,5,8,1,-1,0,0
28,57,4,1,0,0,249,1,0,2,5,8,1,-1,0,0
29,31,8,1,1,0,790,1,0,2,5,8,1,-1,0,0
30,49,4,1,3,0,154,1,0,2,5,8,1,-1,0,0
31,51,7,1,2,0,6530,1,0,2,5,8,1,-1,0,0
32,60,3,1,2,0,100,0,0,2,5,8,1,-1,0,0
33,33,4,2,1,0,12223,1,1,2,5,8,1,-1,0,0
34,55,4,1,0,0,23,1,0,2,5,8,1,-1,0,0
35,44,4,1,1,0,582,0,1,2,5,8,1,-1,0,0
36,55,8,0,1,0,91,0,0,2,5,8,1,-1,0,0
37,49,8,0,1,0,0,1,1,2,5,8,1,-1,0,0
38,45,2,2,1,0,206,1,0,2,5,8,1,-1,0,0
39,47,8,0,1,0,164,0,0,2,5,8,1,-1,0,0
40,59,2,1,1,0,2343,1,0,2,5,8,1,-1,0,1
41,51,4,1,0,0,173,1,0,2,5,8,2,-1,0,0
42,41,10,1,1,0,1270,1,0,2,5,8,1,-1,0,1
43,46,7,0,1,0,16,1,1,2,5,8,2,-1,0,0
44,60,2,1,1,0,290,1,0,2,5,8,1,-1,0,0
45,55,4,1,1,0,383,0,0,2,5,8,1,-1,0,0
46,37,10,1,1,0,0,1,0,2,5,8,1,-1,0,0
47,46,7,1,2,0,229,1,0,2,5,8,1,-1,0,0
48,53,4,1,0,0,90,0,0,2,5,8,1,-1,0,0
49,59,4,1,0,0,179,1,0,2,5,8,3,-1,0,0
50,44,4,1,1,0,54,1,0,2,5,8,1,-1,0,0
51,47,10,1,2,0,151,1,0,2,5,8,1,-1,0,0
52,27,8,0,1,0,31,1,0,2,5,8,1,-1,0,0
53,56,9,1,0,0,-34,1,1,2,5,8,2,-1,0,0
54,59,3,0,0,0,81,1,0,2,5,8,1,-1,0,0
55,44,4,1,1,0,144,1,0,2,5,8,2,-1,0,0
56,41,2,1,1,0,351,1,0,2,5,8,1,-1,0,0
57,31,7,2,2,0,-67,1,0,2,5,8,1,-1,0,0
58,59,7,0,2,0,262,0,0,2,5,8,1,-1,0,0
59,57,10,1,0,0,0,0,0,2,5,8,1,-1,0,0
60,55,8,1,1,0,2476,1,0,2,5,8,1,-1,0,1
61,55,7,1,3,0,1185,0,0,2,5,8,1,-1,0,0
62,55,2,2,1,0,802,1,1,2,5,8,2,-1,0,0
63,26,1,2,2,0,0,1,0,2,5,8,2,-1,0,0
64,30,4,1,1,0,517,1,0,2,5,8,1,-1,0,0
65,46,4,1,1,0,265,1,0,2,5,8,1,-1,0,0
66,53,0,0,0,0,947,1,0,2,5,8,1,-1,0,0
67,57,1,1,2,0,42,0,0,2,5,8,1,-1,0,0
68,59,4,1,1,0,57,1,0,2,5,8,1,-1,0,0
69,31,8,1,1,0,22,1,0,2,5,8,1,-1,0,0
70,48,1,1,1,0,293,1,0,2,5,8,1,-1,0,0
71,24,6,2,1,0,0,1,0,2,5,8,2,-1,0,0
72,40,7,1,2,0,-4,1,0,2,5,8,1,-1,0,0
73,37,7,1,1,0,18,1,0,2,5,8,1,-1,0,0
74,51,4,1,3,0,1883,1,0,2,5,8,1,-1,0,0
75,52,4,1,1,0,782,1,0,2,5,8,3,-1,0,0
76,48,8,1,3,0,1705,1,0,2,5,8,1,-1,0,0
77,37,10,2,2,0,47,1,0,2,5,8,1,-1,0,0
78,40,4,1,1,0,1225,1,0,2,5,8,5,-1,0,0
79,45,10,1,1,0,86,1,0,2,5,8,1,-1,0,0
80,54,10,1,1,0,1378,1,0,2,5,8,1,-1,0,0
81,33,4,1,1,0,0,1,0,2,5,8,1,-1,0,0
82,44,8,1,1,0,1357,1,1,2,5,8,1,-1,0,0
83,53,5,1,3,0,19,1,0,2,5,8,1,-1,0,0
84,60,2,0,1,0,92,1,0,2,5,8,1,-1,0,0
85,48,1,1,1,0,41,1,0,2,5,8,2,-1,0,0
86,32,10,1,1,0,51,1,0,2,5,8,2,-1,0,0
87,54,8,1,1,0,214,1,0,2,5,8,2,-1,0,0
88,51,7,1,1,0,1161,1,0,2,5,8,1,-1,0,0
89,58,3,1,0,0,235,1,0,2,5,8,1,-1,0,0
90,40,8,0,3,0,4384,1,0,2,5,8,1,-1,0,0
91,32,4,2,1,0,53,1,1,2,5,8,1,-1,0,0
92,29,7,2,2,0,0,1,0,2,5,8,1,-1,0,0
93,51,3,1,1,0,2127,1,0,2,5,8,1,-1,0,0
94,31,7,1,2,0,377,1,0,2,5,8,1,-1,0,0
95,42,2,1,1,0,445,1,0,2,5,8,1,-1,0,0
96,32,4,1,1,0,243,1,0,2,5,8,1,-1,0,0
97,36,8,1,1,0,155,1,0,2,5,8,1,-1,0,0
98,47,2,1,1,0,219,1,0,2,5,8,1,-1,0,0
99,48,9,1,2,0,7,1,0,2,5,8,1,-1,0,0
100,44,4,1,1,0,575,1,0,2,5,8,1,-1,0,0
101,33,6,2,3,0,298,1,0,2,5,8,2,-1,0,0
102,33,8,1,1,0,0,1,0,2,5,8,1,-1,0,0
103,50,8,1,1,0,5699,1,0,2,5,8,2,-1,0,0
104,41,7,1,2,0,176,1,1,2,5,8,1,-1,0,0
105,41,7,1,2,0,517,1,0,2,5,8,1,-1,0,0
106,42,3,1,1,0,56,1,0,2,5,8,1,-1,0,0
107,59,0,0,0,0,195,0,0,2,5,8,2,-1,0,0
108,34,8,1,1,0,301,1,0,2,5,8,1,-1,0,0
109,40,10,1,2,0,483,1,0,2,5,8,1,-1,0,0
110,37,7,1,2,0,378,1,1,2,5,8,2,-1,0,0
111,33,5,0,1,0,-69,1,0,2,5,8,1,-1,0,0
112,48,4,1,0,0,278,1,0,2,5,8,2,-1,0,0
113,58,7,1,3,0,1065,1,0,2,5,8,3,-1,0,0
114,31,7,2,2,0,34,1,0,2,5,8,1,-1,0,0
115,34,4,1,3,0,1033,0,0,2,5,8,2,-1,0,0
116,29,8,1,1,0,388,1,0,2,5,8,2,-1,0,0
117,57,5,1,1,0,294,1,0,2,5,8,2,-1,0,0
118,55,4,1,0,0,627,1,0,2,5,8,1,-1,0,0
119,53,2,0,1,0,315,1,0,2,5,8,2,-1,0,0
120,46,10,1,1,0,349,1,1,2,5,8,1,-1,0,0
121,43,5,1,3,0,100,1,0,2,5,8,1,-1,0,0
122,36,2,1,1,0,0,0,0,2,5,8,1,-1,0,0
123,43,10,1,1,0,434,1,0,2,5,8,1,-1,0,0
124,49,7,1,2,0,3237,1,0,2,5,8,3,-1,0,0
125,40,7,1,2,0,207,1,0,2,5,8,1,-1,0,0
126,37,4,1,1,0,483,1,0,2,5,8,1,-1,0,0
127,49,2,1,1,0,428,1,0,2,5,8,1,-1,0,0
128,53,4,1,1,0,0,1,1,2,5,8,1,-1,0,0
